
"[run number]","flock-behavior","movement-decrease","[step]","count turtles with [friends-score = 0]","count turtles with [lonely? = true]","mean [link-weight] of turtles","mean [friends-score] of turtles","standard-deviation [link-weight] of turtles","standard-deviation [friends-score] of turtles"
"289","true","true","2000","1","21","162.9831072182872","3.176","94.57724602340207","1.1724001400347135"
"290","true","true","2000","2","14","149.19356383026292","3.304","83.82679685908927","1.0771373633842598"
"291","true","true","2000","3","18","160.14889730407936","3.216","95.68273287288508","1.1271316262137474"
"288","true","true","2000","2","26","159.26273618672786","2.968","99.85441037078832","1.0094811582369139"
"292","true","true","2000","1","19","153.37285340366702","3.12","88.194602500875","1.120097528742735"
"293","true","true","2000","1","19","145.71912807605463","3.072","85.18303981323027","1.1663005736569148"
"294","true","true","2000","0","15","158.95109060255328","3.288","84.68270656115365","1.1464350190970476"
"296","true","true","2000","1","18","152.42283187095074","3.248","85.7548822754924","1.1312004498899944"
"297","true","true","2000","1","19","152.84829368733722","3.024","87.61180581609104","1.0639322380814087"
"298","true","true","2000","0","15","160.47893932452433","3.328","92.64965584424415","1.204249503827956"
"300","true","true","2000","2","23","157.3372165438372","3.168","97.69753029188337","1.15634099555104"
"299","true","true","2000","3","16","158.00887132658843","3.176","92.05122970674128","1.1376294665719826"
"295","true","true","2000","0","16","156.6658130302044","3.096","83.5212765291301","1.1080138894059322"
"301","true","true","2000","1","9","148.88108457900304","3.344","68.34879931917159","1.2031017476759995"
